,bond length,anion,icohp
876,1.8436,O,-5.152900000000001
877,1.82073,O,-5.385120000000001
878,1.8436,O,-5.15485
879,1.82072,O,-5.38534
880,1.94283,F,-3.16807
881,1.9484,F,-3.1239
882,2.01578,F,-2.60886
883,2.047,F,-2.4503899999999996
884,1.94284,F,-3.16613
885,1.9484,F,-3.1263199999999998
886,2.01578,F,-2.6094600000000003
887,2.04699,F,-2.45123
888,2.04206,F,-2.47142
889,2.01758,F,-2.58756
890,1.94566,F,-3.14324
891,1.95222,F,-3.10208
892,2.04205,F,-2.47335
893,2.01756,F,-2.58802
894,1.94566,F,-3.14354
895,1.95222,F,-3.10298
896,1.94283,F,-3.1664199999999996
897,1.94841,F,-3.12586
898,2.01578,F,-2.6088500000000003
899,2.04699,F,-2.45103
900,1.94284,F,-3.16791
901,1.9484,F,-3.1244899999999998
902,2.01578,F,-2.6095800000000002
903,2.047,F,-2.45071
904,2.04206,F,-2.4730499999999997
905,2.01757,F,-2.5882199999999997
906,1.95222,F,-3.10273
907,1.94566,F,-3.14373
908,2.04206,F,-2.47188
909,2.01758,F,-2.58749
910,1.95222,F,-3.10238
911,1.94566,F,-3.14322
912,1.71459,O,-7.60416
913,1.84136,O,-5.14597
914,1.92281,O,-4.1145499999999995
915,1.92283,O,-4.1089400000000005
916,1.90312,O,-4.32747
917,1.95381,O,-3.7463800000000003
918,1.92306,O,-4.089639999999999
919,1.92303,O,-4.10537
920,1.86409,O,-4.78156
921,1.90828,O,-4.27752
922,1.90825,O,-4.2726500000000005
923,2.07108,O,-2.7114900000000004
924,1.94867,O,-3.80274
925,1.97771,O,-3.5312900000000003
926,1.93697,O,-3.92918
927,1.93702,O,-3.9234999999999998
928,1.91496,F,-3.5172499999999998
929,1.91463,F,-3.5552799999999998
930,1.95046,F,-3.03685
931,1.95401,F,-3.00537
932,1.9763,F,-2.76594
933,1.97631,F,-2.76943
934,1.85823,F,-4.08943
935,1.86188,F,-4.06395
936,1.90077,F,-3.5917399999999997
937,1.90086,F,-3.60205
938,1.86735,F,-3.8861600000000003
939,1.86733,F,-3.88486
940,1.90989,F,-3.54735
941,1.91359,F,-3.55166
942,1.93757,F,-3.13985
943,1.94132,F,-3.12307
944,1.94216,F,-3.07017
945,1.94214,F,-3.07282
