r	exp	calc	diff
7.69	1.51717	1.69341	-0.17624
7.7	1.61198	1.81073	-0.19875
7.71	1.70181	1.91611	-0.2143
7.72	1.78591	2.00929	-0.22338
7.73	1.86354	2.09014	-0.2266
7.74	1.93396	2.15868	-0.22472
7.75	1.99648	2.21505	-0.21857
7.76	2.05045	2.25952	-0.20907
7.77	2.09529	2.29243	-0.19714
7.78	2.13048	2.31422	-0.18374
7.79	2.15558	2.32535	-0.16977
7.8	2.17022	2.32631	-0.15609
7.81	2.17414	2.31758	-0.14344
7.82	2.16714	2.29964	-0.1325
7.83	2.14909	2.27289	-0.1238
7.84	2.11997	2.23769	-0.11772
7.85	2.0798	2.19432	-0.11452
7.86	2.02869	2.14299	-0.1143
7.87	1.96683	2.08383	-0.117
7.88	1.89444	2.01689	-0.12245
7.89	1.81186	1.94216	-0.1303
7.9	1.71944	1.85958	-0.14014
7.91	1.61766	1.76905	-0.15139
7.92	1.50701	1.6705	-0.16349
7.93	1.38809	1.56384	-0.17575
7.94	1.26157	1.44905	-0.18748
7.95	1.1282	1.32619	-0.19799
7.96	0.988802	1.1954	-0.206598
7.97	0.844287	1.05698	-0.212693
7.98	0.695646	0.911347	-0.215701
7.99	0.543948	0.759098	-0.21515
8	0.390338	0.601	-0.210662
