r	exp	calc	diff
2.51	-1.23066	-0.859662	-0.370998
2.52	-1.08197	-0.701414	-0.380556
2.53	-0.922026	-0.534266	-0.38776
2.54	-0.75355	-0.360688	-0.392862
2.55	-0.579503	-0.183502	-0.396001
2.56	-0.402996	-0.00579581	-0.39720019
2.57	-0.227205	0.169156	-0.396361
2.58	-0.0552776	0.337992	-0.3932696
2.59	0.109745	0.497365	-0.38762
2.6	0.265009	0.644039	-0.37903
2.61	0.407913	0.774989	-0.367076
2.62	0.536171	0.887497	-0.351326
2.63	0.647855	0.979226	-0.331371
2.64	0.741429	1.0483	-0.306871
2.65	0.815772	1.09335	-0.277578
2.66	0.870185	1.11355	-0.243365
2.67	0.904384	1.10868	-0.204296
2.68	0.918486	1.07904	-0.160554
2.69	0.912979	1.02554	-0.112561
2.7	0.888687	0.94957	-0.060883
2.71	0.846728	0.853019	-0.006291
2.72	0.788459	0.738165	0.050294
2.73	0.715426	0.607617	0.107809
2.74	0.629312	0.464218	0.165094
2.75	0.531875	0.310956	0.220919
2.76	0.424902	0.150862	0.27404
2.77	0.310157	-0.0130823	0.3232393
2.78	0.189336	-0.178038	0.367374
2.79	0.0640332	-0.341394	0.4054272
2.8	-0.0642922	-0.500836	0.4365438
2.81	-0.194338	-0.65441	0.460072
2.82	-0.324973	-0.800567	0.475594
2.83	-0.455244	-0.938187	0.482943
2.84	-0.584372	-1.06659	0.482218
2.85	-0.711748	-1.18553	0.473782
2.86	-0.836912	-1.29516	0.458248
2.87	-0.959538	-1.39602	0.436482
2.88	-1.07941	-1.48893	0.40952
2.89	-1.19638	-1.57498	0.3786
2.9	-1.31037	-1.65542	0.34505
2.91	-1.42132	-1.73161	0.31029
2.92	-1.52917	-1.8049	0.27573
2.93	-1.63382	-1.87657	0.24275
2.94	-1.73514	-1.9478	0.21266
2.95	-1.83295	-2.01952	0.18657
2.96	-1.92697	-2.09242	0.16545
2.97	-2.0169	-2.16692	0.15002
2.98	-2.10233	-2.24309	0.14076
2.99	-2.18282	-2.32069	0.13787
3	-2.25791	-2.39916	0.14125
3.01	-2.32709	-2.47767	0.15058
3.02	-2.38989	-2.55513	0.16524
3.03	-2.4459	-2.63025	0.18435
3.04	-2.49475	-2.70165	0.2069
3.05	-2.53622	-2.76788	0.23166
3.06	-2.5702	-2.82752	0.25732
3.07	-2.59678	-2.87926	0.28248
3.08	-2.6162	-2.92199	0.30579
3.09	-2.62895	-2.95485	0.3259
3.1	-2.63571	-2.9773	0.34159
3.11	-2.6374	-2.98915	0.35175
3.12	-2.6351	-2.99062	0.35552
3.13	-2.63012	-2.98234	0.35222
3.14	-2.62391	-2.96535	0.34144
3.15	-2.618	-2.94103	0.32303
3.16	-2.61403	-2.91115	0.29712
3.17	-2.61361	-2.87772	0.26411
3.18	-2.61832	-2.84295	0.22463
3.19	-2.62959	-2.80917	0.17958
3.2	-2.64867	-2.77872	0.13005
3.21	-2.67655	-2.75385	0.0773
3.22	-2.71392	-2.7366	0.02268
3.23	-2.76108	-2.72873	-0.03235
3.24	-2.81791	-2.73161	-0.0863
3.25	-2.88387	-2.74612	-0.13775
3.26	-2.95791	-2.77264	-0.18527
3.27	-3.03856	-2.81095	-0.22761
3.28	-3.12387	-2.86023	-0.26364
3.29	-3.21151	-2.91906	-0.29245
3.3	-3.29874	-2.98547	-0.31327
3.31	-3.38258	-3.05692	-0.32566
3.32	-3.45982	-3.13045	-0.32937
3.33	-3.52714	-3.20274	-0.3244
3.34	-3.58125	-3.2702	-0.31105
3.35	-3.61895	-3.32914	-0.28981
3.36	-3.63731	-3.37588	-0.26143
3.37	-3.63374	-3.40689	-0.22685
3.38	-3.60614	-3.41893	-0.18721
3.39	-3.55298	-3.40919	-0.14379
3.4	-3.47337	-3.3754	-0.09797
3.41	-3.36718	-3.31596	-0.05122
3.42	-3.23506	-3.22999	-0.00507
3.43	-3.07843	-3.11739	0.03896
3.44	-2.89954	-2.97892	0.07938
3.45	-2.70136	-2.81613	0.11477
3.46	-2.48758	-2.6314	0.14382
3.47	-2.26249	-2.4278	0.16531
