r	calc	exp	diff
7.76	2.14487	2.05045	-0.09442
7.77	2.18939	2.09529	-0.0941
7.78	2.22292	2.13048	-0.09244
7.79	2.24531	2.15558	-0.08973
7.8	2.25645	2.17022	-0.08623
7.81	2.25629	2.17414	-0.08215
7.82	2.24482	2.16714	-0.07768
7.83	2.2221	2.14909	-0.07301
7.84	2.18823	2.11997	-0.06826
7.85	2.14338	2.0798	-0.06358
7.86	2.08777	2.02869	-0.05908
7.87	2.02168	1.96683	-0.05485
7.88	1.94545	1.89444	-0.05101
7.89	1.85949	1.81186	-0.04763
7.9	1.76426	1.71944	-0.04482
7.91	1.6603	1.61766	-0.04264
7.92	1.54817	1.50701	-0.04116
7.93	1.42853	1.38809	-0.04044
7.94	1.30208	1.26157	-0.04051
7.95	1.16955	1.1282	-0.04135
7.96	1.03176	0.9888	-0.04296
7.97	0.88956	0.84429	-0.04527
7.98	0.74383	0.69565	-0.04818
7.99	0.59551	0.54395	-0.05156
8	0.44557	0.39034	-0.05524
8.01	0.29502	0.23603	-0.05899
8.02	0.14487	0.08228	-0.06259
8.03	-0.00382	-0.06958	-0.06576
8.04	-0.14997	-0.21821	-0.06824
8.05	-0.29251	-0.36225	-0.06973
8.06	-0.43035	-0.50032	-0.06997
8.07	-0.56239	-0.63109	-0.0687
8.08	-0.68754	-0.75325	-0.06571
8.09	-0.80473	-0.86554	-0.06081
8.1	-0.9129	-0.9668	-0.0539
8.11	-1.01101	-1.05594	-0.04493
8.12	-1.09806	-1.13198	-0.03392
8.13	-1.17308	-1.19407	-0.02099
8.14	-1.23517	-1.24148	-0.00631
8.15	-1.28345	-1.27362	0.00983
8.16	-1.31715	-1.29004	0.02711
8.17	-1.33554	-1.29044	0.0451
8.18	-1.33799	-1.27463	0.06336
8.19	-1.32399	-1.2426	0.08139
8.2	-1.29308	-1.19443	0.09865
8.21	-1.24498	-1.13034	0.11464
8.22	-1.17948	-1.05066	0.12882
8.23	-1.09653	-0.95581	0.14072
8.24	-0.9962	-0.8463	0.1499
8.25	-0.87874	-0.72273	0.15601
8.26	-0.74451	-0.58577	0.15874
8.27	-0.59404	-0.43613	0.15792
8.28	-0.42803	-0.2746	0.15343
8.29	-0.24729	-0.10202	0.14528
8.3	-0.05283	0.08073	0.13357
8.31	0.15422	0.27272	0.1185
8.32	0.3726	0.47296	0.10036
8.33	0.6009	0.68042	0.07952
8.34	0.8376	0.89399	0.05639
8.35	1.08108	1.11253	0.03145
8.36	1.32963	1.33481	0.00518
8.37	1.58145	1.55957	-0.02188
8.38	1.83473	1.78545	-0.04928
8.39	2.08758	2.01104	-0.07654
8.4	2.33813	2.23487	-0.10326
8.41	2.5845	2.45542	-0.12908
8.42	2.82485	2.67111	-0.15374
8.43	3.05738	2.88034	-0.17704
8.44	3.28036	3.0815	-0.19886
8.45	3.49217	3.27298	-0.21919
8.46	3.69128	3.45318	-0.2381
8.47	3.87627	3.62057	-0.2557
8.48	4.04588	3.77368	-0.2722
8.49	4.199	3.91114	-0.28786
8.5	4.33465	4.03169	-0.30296
8.51	4.45205	4.13424	-0.31781
8.52	4.55056	4.21783	-0.33273
8.53	4.62972	4.28172	-0.348
8.54	4.68925	4.32533	-0.36392
8.55	4.72902	4.34833	-0.38069
8.56	4.74908	4.35056	-0.39852
8.57	4.74961	4.33211	-0.4175
8.58	4.73094	4.29328	-0.43766
8.59	4.69356	4.23454	-0.45902
8.6	4.63803	4.15658	-0.48145
8.61	4.56506	4.06025	-0.50481
8.62	4.47543	3.94656	-0.52887
8.63	4.37001	3.81664	-0.55338
8.64	4.24974	3.67173	-0.57801
8.65	4.11558	3.51313	-0.60245
8.66	3.96858	3.34222	-0.62636
8.67	3.80976	3.16039	-0.64937
8.68	3.64019	2.96901	-0.67118
8.69	3.46095	2.76947	-0.69148
8.7	3.27309	2.5631	-0.70999
8.71	3.07767	2.35119	-0.72649
8.72	2.87573	2.13496	-0.74077
8.73	2.66828	1.91557	-0.75271
8.74	2.45631	1.6941	-0.76221
8.75	2.24079	1.4716	-0.76919
8.76	2.02266	1.249	-0.77366
8.77	1.80284	1.02722	-0.77562
8.78	1.58223	0.80712	-0.77511
8.79	1.36169	0.58952	-0.77217
8.8	1.14207	0.37524	-0.76684
8.81	0.92422	0.16505	-0.75917
8.82	0.70896	-0.04023	-0.7492
8.83	0.49711	-0.23982	-0.73693
8.84	0.28948	-0.4329	-0.72238
8.85	0.08687	-0.61864	-0.7055
8.86	-0.10992	-0.79619	-0.68627
8.87	-0.30008	-0.96469	-0.66461
8.88	-0.48281	-1.12328	-0.64048
8.89	-0.65731	-1.27109	-0.61378
8.9	-0.82279	-1.40727	-0.58448
8.91	-0.97847	-1.531	-0.55253
8.92	-1.12357	-1.64151	-0.51795
8.93	-1.25732	-1.73808	-0.48076
8.94	-1.379	-1.82009	-0.44109
8.95	-1.4879	-1.887	-0.3991
8.96	-1.58335	-1.93837	-0.35502
8.97	-1.66473	-1.97391	-0.30918
8.98	-1.73147	-1.99344	-0.26197
8.99	-1.78307	-1.99693	-0.21386
9	-1.8191	-1.9845	-0.16541
9.01	-1.83921	-1.95639	-0.11718
9.02	-1.84317	-1.91301	-0.06984
9.03	-1.83081	-1.85487	-0.02406
9.04	-1.80211	-1.78262	0.01949
9.05	-1.75716	-1.69701	0.06015
9.06	-1.69615	-1.59889	0.09726
9.07	-1.61943	-1.48917	0.13026
9.08	-1.52747	-1.36882	0.15865
9.09	-1.42088	-1.23886	0.18202
9.1	-1.30039	-1.10032	0.20008
9.11	-1.1669	-0.95424	0.21266
9.12	-1.0214	-0.80163	0.21977
9.13	-0.86502	-0.64351	0.22151
9.14	-0.69901	-0.48085	0.21816
9.15	-0.52472	-0.31459	0.21013
9.16	-0.34359	-0.14564	0.19796
9.17	-0.15715	0.02516	0.18231
9.18	0.03302	0.19698	0.16396
9.19	0.22527	0.36901	0.14374
9.2	0.41796	0.5405	0.12254
9.21	0.60938	0.71068	0.1013
9.22	0.79789	0.87882	0.08092
9.23	0.98184	1.04415	0.06231
9.24	1.15962	1.20594	0.04632
9.25	1.32973	1.3634	0.03367
9.26	1.49069	1.51573	0.02504
9.27	1.64118	1.66211	0.02093
9.28	1.77995	1.8017	0.02175
9.29	1.90591	1.93363	0.02772
9.3	2.01808	2.05702	0.03894
9.31	2.11566	2.17097	0.05531
9.32	2.19797	2.27461	0.07664
9.33	2.26452	2.36705	0.10253
9.34	2.31496	2.44746	0.1325
9.35	2.34911	2.51504	0.16593
9.36	2.36695	2.56907	0.20212
9.37	2.36859	2.6089	0.24031
9.38	2.35431	2.63395	0.27964
9.39	2.3245	2.6438	0.3193
9.4	2.27969	2.63811	0.35842
9.41	2.2205	2.61668	0.39618
9.42	2.14766	2.57945	0.43179
9.43	2.06198	2.52649	0.46452
9.44	1.96431	2.45801	0.4937
9.45	1.85559	2.37437	0.51878
9.46	1.73677	2.27604	0.53928
9.47	1.60882	2.16363	0.55481
9.48	1.47273	2.03784	0.56511
9.49	1.32948	1.89948	0.57
9.5	1.18005	1.74944	0.56939
9.51	1.02536	1.58867	0.56331
9.52	0.86635	1.41819	0.55185
9.53	0.70386	1.23904	0.53518
9.54	0.53875	1.05229	0.51354
9.55	0.3718	0.85902	0.48722
9.56	0.20374	0.6603	0.45656
9.57	0.03527	0.45722	0.42195
9.58	-0.13296	0.25083	0.38379
9.59	-0.30034	0.04216	0.3425
9.6	-0.46633	-0.16778	0.29855
9.61	-0.63037	-0.378	0.25237
9.62	-0.79199	-0.58754	0.20445
9.63	-0.9507	-0.79546	0.15524
9.64	-1.10606	-1.00086	0.1052
9.65	-1.25764	-1.20283	0.05481
9.66	-1.40504	-1.4005	0.00454
9.67	-1.54783	-1.59302	-0.04519
9.68	-1.68563	-1.77954	-0.09391
9.69	-1.81805	-1.95925	-0.1412
9.7	-1.9447	-2.13132	-0.18662
9.71	-2.06518	-2.29499	-0.22981
9.72	-2.17913	-2.4495	-0.27037
9.73	-2.28614	-2.59412	-0.30798
9.74	-2.38586	-2.72818	-0.34232
9.75	-2.47789	-2.85103	-0.37314
9.76	-2.56189	-2.9621	-0.40021
9.77	-2.6375	-3.06087	-0.42337
9.78	-2.70438	-3.14688	-0.4425
9.79	-2.7622	-3.21976	-0.45756
9.8	-2.81068	-3.27922	-0.46854
9.81	-2.84955	-3.32504	-0.47549
9.82	-2.87855	-3.3571	-0.47855
9.83	-2.89749	-3.37536	-0.47787
9.84	-2.9062	-3.37985	-0.47365
9.85	-2.90456	-3.3707	-0.46614
9.86	-2.89247	-3.34809	-0.45562
9.87	-2.86993	-3.31227	-0.44234
9.88	-2.83694	-3.26357	-0.42663
9.89	-2.79359	-3.20235	-0.40877
9.9	-2.74	-3.129	-0.389
9.91	-2.67638	-3.04395	-0.36757
9.92	-2.60298	-2.94766	-0.34468
9.93	-2.52012	-2.84061	-0.32049
9.94	-2.42817	-2.72328	-0.29511
9.95	-2.32758	-2.59616	-0.26858
9.96	-2.21886	-2.45978	-0.24092
9.97	-2.10256	-2.31465	-0.21209
9.98	-1.97932	-2.16131	-0.18199
9.99	-1.84982	-2.00035	-0.15053
10	-1.71481	-1.83237	-0.11756
10.01	-1.57506	-1.65801	-0.08295
10.02	-1.43143	-1.47799	-0.04656
10.03	-1.28479	-1.29307	-0.00828
10.04	-1.13606	-1.10412	0.03194
10.05	-0.98621	-0.91205	0.07416
10.06	-0.8362	-0.71789	0.11831
10.07	-0.68703	-0.52276	0.16427
10.08	-0.53972	-0.32787	0.21184
10.09	-0.39526	-0.13452	0.26075
10.1	-0.25467	0.05593	0.3106
10.11	-0.11892	0.24202	0.36094
10.12	0.01101	0.42225	0.41124
10.13	0.1342	0.59509	0.46089
10.14	0.24976	0.75901	0.50925
10.15	0.35687	0.91249	0.55562
10.16	0.45474	1.05406	0.59933
10.17	0.54267	1.18233	0.63966
10.18	0.62003	1.29602	0.67599
10.19	0.68629	1.39399	0.7077
10.2	0.74098	1.47525	0.73427
10.21	0.78375	1.53902	0.75527
10.22	0.81434	1.58472	0.77038
10.23	0.8326	1.61199	0.77939
10.24	0.83847	1.62073	0.78226
10.25	0.83202	1.61105	0.77903
10.26	0.8134	1.58332	0.76992
10.27	0.78289	1.53815	0.75526
10.28	0.74086	1.47635	0.73549
10.29	0.68779	1.39895	0.71116
10.3	0.62425	1.30714	0.6829
10.31	0.55089	1.20229	0.6514
10.32	0.46846	1.08587	0.61741
10.33	0.3778	0.95944	0.58165
10.34	0.27978	0.82464	0.54486
10.35	0.17538	0.68311	0.50773
10.36	0.06559	0.5365	0.47091
10.37	-0.04854	0.38641	0.43495
10.38	-0.16591	0.2344	0.40031
10.39	-0.28543	0.08193	0.36736
10.4	-0.40598	-0.06963	0.33635
10.41	-0.52643	-0.21901	0.30743
10.42	-0.64569	-0.36507	0.28062
10.43	-0.76266	-0.50681	0.25586
10.44	-0.87629	-0.6433	0.23299
10.45	-0.98557	-0.77377	0.2118
10.46	-1.08953	-0.89752	0.19201
10.47	-1.18728	-1.01398	0.1733
10.48	-1.27799	-1.12263	0.15536
10.49	-1.36091	-1.22302	0.13789
10.5	-1.4354	-1.31478	0.12062
10.51	-1.50088	-1.39756	0.10332
10.52	-1.5569	-1.47106	0.08584
10.53	-1.60312	-1.53502	0.0681
10.54	-1.63927	-1.58918	0.05009
10.55	-1.66525	-1.63333	0.03193
10.56	-1.68104	-1.66728	0.01376
10.57	-1.68675	-1.69091	-0.00416
10.58	-1.68258	-1.70411	-0.02153
10.59	-1.66887	-1.70685	-0.03798
10.6	-1.64606	-1.69919	-0.05313
10.61	-1.61467	-1.68125	-0.06658
10.62	-1.57535	-1.6533	-0.07795
10.63	-1.52879	-1.61568	-0.08689
10.64	-1.4758	-1.5689	-0.0931
10.65	-1.41722	-1.51359	-0.09637
10.66	-1.35397	-1.45051	-0.09654
10.67	-1.287	-1.38059	-0.09359
10.68	-1.21727	-1.30487	-0.0876
10.69	-1.14579	-1.22453	-0.07874
10.7	-1.07356	-1.14083	-0.06727
10.71	-1.00156	-1.05516	-0.0536
10.72	-0.93075	-0.96893	-0.03818
10.73	-0.86206	-0.88361	-0.02155
10.74	-0.79639	-0.80065	-0.00426
10.75	-0.73455	-0.72149	0.01307
10.76	-0.67732	-0.64748	0.02984
10.77	-0.62538	-0.57988	0.0455
10.78	-0.57935	-0.51984	0.05951
10.79	-0.53975	-0.46833	0.07143
10.8	-0.50703	-0.42613	0.0809
10.81	-0.48152	-0.39386	0.08766
10.82	-0.46349	-0.37189	0.0916
10.83	-0.45308	-0.36039	0.09269
10.84	-0.45038	-0.35933	0.09104
10.85	-0.45535	-0.36846	0.08689
10.86	-0.46787	-0.38732	0.08055
10.87	-0.48776	-0.4153	0.07246
10.88	-0.51473	-0.45164	0.06308
10.89	-0.54841	-0.49544	0.05297
10.9	-0.58839	-0.54572	0.04267
10.91	-0.63416	-0.60143	0.03272
10.92	-0.68516	-0.66152	0.02364
10.93	-0.74077	-0.7249	0.01587
10.94	-0.80032	-0.79054	0.00978
10.95	-0.86309	-0.85745	0.00564
10.96	-0.92834	-0.92473	0.00361
10.97	-0.99525	-0.99154	0.00372
10.98	-1.06302	-1.05715	0.00587
10.99	-1.13078	-1.12093	0.00985
11	-1.19768	-1.18235	0.01533
11.01	-1.26285	-1.24096	0.02189
11.02	-1.32539	-1.29639	0.029
11.03	-1.38443	-1.34833	0.0361
11.04	-1.43912	-1.3965	0.04262
11.05	-1.48859	-1.44066	0.04793
11.06	-1.53205	-1.48056	0.05149
11.07	-1.5687	-1.51594	0.05276
11.08	-1.59783	-1.5465	0.05133
11.09	-1.61876	-1.57192	0.04684
11.1	-1.63089	-1.59179	0.0391
11.11	-1.6337	-1.60568	0.02802
11.12	-1.62677	-1.61308	0.01369
11.13	-1.60975	-1.61348	-0.00373
11.14	-1.58244	-1.60631	-0.02387
11.15	-1.54472	-1.59102	-0.0463
11.16	-1.49662	-1.56704	-0.07042
11.17	-1.43829	-1.53391	-0.09562
11.18	-1.36999	-1.49119	-0.1212
11.19	-1.29216	-1.43859	-0.14643
11.2	-1.20535	-1.37594	-0.17059
11.21	-1.11024	-1.30327	-0.19303
11.22	-1.00764	-1.22077	-0.21314
11.23	-0.89848	-1.12888	-0.2304
11.24	-0.78382	-1.02825	-0.24443
11.25	-0.66481	-0.91976	-0.25495
11.26	-0.54267	-0.80455	-0.26189
11.27	-0.41871	-0.68398	-0.26527
11.28	-0.29429	-0.5596	-0.26531
11.29	-0.17081	-0.43314	-0.26233
11.3	-0.04968	-0.30651	-0.25683
11.31	0.06768	-0.1817	-0.24938
11.32	0.1799	-0.06074	-0.24064
11.33	0.28562	0.05428	-0.23134
11.34	0.38358	0.16136	-0.22221
11.35	0.47257	0.25858	-0.21399
11.36	0.55151	0.34415	-0.20735
11.37	0.61941	0.4165	-0.20291
11.38	0.67544	0.47428	-0.20115
11.39	0.71888	0.51643	-0.20246
11.4	0.74921	0.54216	-0.20704
11.41	0.76601	0.55105	-0.21497
11.42	0.76909	0.54296	-0.22612
11.43	0.75837	0.51813	-0.24025
11.44	0.73399	0.47709	-0.25691
11.45	0.69623	0.42068	-0.27555
11.46	0.64551	0.35004	-0.29548
11.47	0.58245	0.26652	-0.31593
11.48	0.50779	0.17172	-0.33607
11.49	0.42239	0.06735	-0.35505
11.5	0.32727	-0.04473	-0.372
11.51	0.22352	-0.16261	-0.38613
11.52	0.11235	-0.28436	-0.39671
11.53	-0.00496	-0.40807	-0.4031
11.54	-0.12706	-0.53188	-0.40483
11.55	-0.25254	-0.65407	-0.40153
11.56	-0.37997	-0.77301	-0.39303
11.57	-0.5079	-0.88723	-0.37933
11.58	-0.63485	-0.99542	-0.36057
11.59	-0.75937	-1.09645	-0.33708
11.6	-0.88001	-1.18934	-0.30933
11.61	-0.99536	-1.27328	-0.27792
11.62	-1.10405	-1.34759	-0.24354
11.63	-1.20477	-1.41174	-0.20697
11.64	-1.29625	-1.46527	-0.16902
11.65	-1.37732	-1.50784	-0.13052
11.66	-1.44686	-1.53914	-0.09228
11.67	-1.50386	-1.55891	-0.05505
11.68	-1.5474	-1.5669	-0.0195
11.69	-1.57665	-1.56286	0.01379
11.7	-1.5909	-1.54654	0.04436
11.71	-1.58954	-1.51764	0.0719
11.72	-1.5721	-1.47588	0.09622
11.73	-1.53822	-1.42093	0.11729
11.74	-1.48765	-1.35249	0.13516
11.75	-1.42031	-1.27026	0.15005
11.76	-1.33623	-1.17396	0.16227
11.77	-1.23557	-1.06341	0.17216
11.78	-1.11864	-0.93848	0.18016
11.79	-0.9859	-0.79916	0.18674
11.8	-0.83792	-0.6456	0.19232
11.81	-0.67542	-0.4781	0.19732
11.82	-0.49925	-0.29714	0.20211
11.83	-0.3104	-0.10342	0.20697
11.84	-0.10995	0.10215	0.2121
11.85	0.10087	0.31844	0.21757
11.86	0.32076	0.54412	0.22336
11.87	0.54828	0.77762	0.22934
11.88	0.78195	1.01721	0.23526
11.89	1.02019	1.26098	0.24079
11.9	1.26139	1.50689	0.2455
11.91	1.50387	1.75279	0.24892
11.92	1.74593	1.99648	0.25055
11.93	1.98588	2.23574	0.24986
11.94	2.22201	2.46838	0.24637
11.95	2.45265	2.69225	0.2396
11.96	2.67616	2.90537	0.22921
11.97	2.89097	3.10584	0.21488
11.98	3.09556	3.29201	0.19645
11.99	3.28853	3.46241	0.17388
12	3.46856	3.6158	0.14724
12.01	3.63445	3.75123	0.11678
12.02	3.78512	3.86798	0.08286
12.03	3.91965	3.96561	0.04596
12.04	4.03724	4.04394	0.0067
12.05	4.13726	4.10302	-0.03424
12.06	4.21924	4.14315	-0.07609
12.07	4.28287	4.16483	-0.11804
12.08	4.328	4.16874	-0.15926
12.09	4.35464	4.15571	-0.19893
12.1	4.36298	4.1267	-0.23628
12.11	4.35336	4.08275	-0.27061
12.12	4.32627	4.02498	-0.30129
12.13	4.28235	3.95454	-0.32781
12.14	4.22239	3.87259	-0.3498
12.15	4.14731	3.78031	-0.367
12.16	4.05813	3.67883	-0.3793
12.17	3.95601	3.56929	-0.38672
12.18	3.84217	3.45275	-0.38942
12.19	3.71796	3.33027	-0.38769
12.2	3.58475	3.20286	-0.38189
12.21	3.44401	3.07151	-0.3725
12.22	3.29723	2.93718	-0.36005
12.23	3.14591	2.80083	-0.34509
12.24	2.9916	2.66339	-0.32821
12.25	2.83582	2.52581	-0.31001
12.26	2.68006	2.38905	-0.29101
12.27	2.5258	2.25409	-0.27172
12.28	2.37447	2.12191	-0.25256
12.29	2.22742	1.9935	-0.23392
12.3	2.08593	1.86988	-0.21605
12.31	1.9512	1.75204	-0.19916
12.32	1.82432	1.64097	-0.18335
12.33	1.70627	1.53763	-0.16864
12.34	1.59791	1.44292	-0.15499
12.35	1.49996	1.35765	-0.14231
12.36	1.41301	1.28258	-0.13043
12.37	1.33752	1.21831	-0.11921
12.38	1.27377	1.16532	-0.10845
12.39	1.22192	1.12394	-0.09798
12.4	1.18197	1.09432	-0.08765
12.41	1.15375	1.07643	-0.07732
12.42	1.13697	1.07004	-0.06693
12.43	1.13117	1.07474	-0.05643
12.44	1.13578	1.08992	-0.04586
12.45	1.15007	1.11479	-0.03528
12.46	1.17321	1.14839	-0.02482
12.47	1.20425	1.18962	-0.01463
12.48	1.24215	1.23723	-0.00492
12.49	1.28578	1.28988	0.0041
12.5	1.33393	1.34617	0.01224
12.51	1.38537	1.40463	0.01926
12.52	1.43878	1.46381	0.02503
12.53	1.49288	1.52225	0.02937
12.54	1.54632	1.57857	0.03225
12.55	1.59782	1.63145	0.03363
12.56	1.6461	1.67965	0.03355
12.57	1.68992	1.7221	0.03218
12.58	1.72812	1.7578	0.02968
12.59	1.75959	1.78594	0.02635
12.6	1.78334	1.80584	0.0225
12.61	1.79844	1.81697	0.01853
12.62	1.80411	1.81893	0.01482
12.63	1.79965	1.81148	0.01183
12.64	1.78453	1.79449	0.00996
12.65	1.7583	1.76792	0.00962
12.66	1.72069	1.73186	0.01117
12.67	1.67153	1.68643	0.0149
12.68	1.61082	1.63185	0.02103
12.69	1.53865	1.56835	0.0297
12.7	1.45529	1.49622	0.04093
12.71	1.36108	1.41574	0.05466
12.72	1.25652	1.3272	0.07068
12.73	1.1422	1.23092	0.08872
12.74	1.01881	1.12719	0.10838
12.75	0.88713	1.01634	0.12921
12.76	0.74803	0.89866	0.15064
12.77	0.60241	0.77449	0.17209
12.78	0.45126	0.64419	0.19293
12.79	0.2956	0.50812	0.21253
12.8	0.13646	0.36674	0.23027
12.81	-0.02507	0.2205	0.24558
12.82	-0.18796	0.06996	0.25792
12.83	-0.35112	-0.08426	0.26686
12.84	-0.51354	-0.24149	0.27205
12.85	-0.67419	-0.40096	0.27324
12.86	-0.83212	-0.56182	0.2703
12.87	-0.98641	-0.72318	0.26323
12.88	-1.13618	-0.88406	0.25212
12.89	-1.28064	-1.04345	0.2372
12.9	-1.41907	-1.20031	0.21876
12.91	-1.5508	-1.35356	0.19724
12.92	-1.67526	-1.50217	0.17309
12.93	-1.79195	-1.64511	0.14684
12.94	-1.90046	-1.7814	0.11906
12.95	-2.00047	-1.91015	0.09032
12.96	-2.09172	-2.03055	0.06117
12.97	-2.17406	-2.14191	0.03215
12.98	-2.24741	-2.24367	0.00374
12.99	-2.31179	-2.33539	-0.0236
13	-2.36726	-2.41681	-0.04955
13.01	-2.41399	-2.48779	-0.0738
13.02	-2.45221	-2.54836	-0.09615
13.03	-2.48221	-2.59868	-0.11647
13.04	-2.50435	-2.63905	-0.13471
13.05	-2.51902	-2.66989	-0.15087
13.06	-2.5267	-2.69172	-0.16502
13.07	-2.52788	-2.70517	-0.17729
13.08	-2.5231	-2.71089	-0.18779
13.09	-2.51292	-2.7096	-0.19668
13.1	-2.49794	-2.70204	-0.2041
13.11	-2.47875	-2.68893	-0.21018
13.12	-2.45596	-2.67098	-0.21502
13.13	-2.43018	-2.64886	-0.21868
13.14	-2.40201	-2.62319	-0.22119
13.15	-2.37201	-2.59451	-0.2225
13.16	-2.34075	-2.5633	-0.22255
13.17	-2.30875	-2.52996	-0.22121
13.18	-2.27649	-2.49482	-0.21833
13.19	-2.2444	-2.45811	-0.21371
13.2	-2.21287	-2.42003	-0.20716
13.21	-2.18223	-2.3807	-0.19847
13.22	-2.15273	-2.34018	-0.18746
13.23	-2.12456	-2.29852	-0.17396
13.24	-2.09785	-2.25571	-0.15786
13.25	-2.07264	-2.21176	-0.13912
13.26	-2.04892	-2.16665	-0.11773
13.27	-2.02657	-2.12037	-0.0938
13.28	-2.00543	-2.07295	-0.06752
13.29	-1.98525	-2.02439	-0.03914
13.3	-1.96572	-1.97475	-0.00903
13.31	-1.94646	-1.92408	0.02238
13.32	-1.92705	-1.87245	0.0546
13.33	-1.90699	-1.81997	0.08702
13.34	-1.88578	-1.76671	0.11907
13.35	-1.86286	-1.71277	0.1501
13.36	-1.83766	-1.6582	0.17946
13.37	-1.80959	-1.60307	0.20652
13.38	-1.77806	-1.54739	0.23068
13.39	-1.74251	-1.49112	0.25139
13.4	-1.70239	-1.4342	0.26819
13.41	-1.65717	-1.37651	0.28066
13.42	-1.6064	-1.31787	0.28853
13.43	-1.54966	-1.25808	0.29158
13.44	-1.4866	-1.19686	0.28974
13.45	-1.41697	-1.13392	0.28305
13.46	-1.34057	-1.06893	0.27164
13.47	-1.25731	-1.00157	0.25574
13.48	-1.1672	-0.9315	0.23569
13.49	-1.07033	-0.85842	0.21191
13.5	-0.96691	-0.78205	0.18486
13.51	-0.85724	-0.70217	0.15507
13.52	-0.74173	-0.61863	0.12311
13.53	-0.6209	-0.53136	0.08953
13.54	-0.49532	-0.4404	0.05492
13.55	-0.36569	-0.34588	0.01982
13.56	-0.23278	-0.24803	-0.01525
13.57	-0.09741	-0.14722	-0.04981
13.58	0.03953	-0.04389	-0.08342
13.59	0.17709	0.06138	-0.11571
13.6	0.3143	0.16795	-0.14635
13.61	0.45017	0.27508	-0.17509
13.62	0.5837	0.38199	-0.20171
13.63	0.71391	0.48785	-0.22606
13.64	0.83981	0.59181	-0.248
13.65	0.96048	0.69302	-0.26746
13.66	1.07504	0.79068	-0.28437
13.67	1.18268	0.88401	-0.29868
13.68	1.28266	0.9723	-0.31036
13.69	1.37434	1.05495	-0.31939
13.7	1.45716	1.13145	-0.32571
13.71	1.5307	1.20138	-0.32932
13.72	1.59463	1.26448	-0.33015
13.73	1.64877	1.32058	-0.32819
13.74	1.69306	1.36966	-0.3234
13.75	1.72755	1.41181	-0.31574
13.76	1.75245	1.44724	-0.30521
13.77	1.7681	1.47626	-0.29184
13.78	1.77494	1.49926	-0.27568
13.79	1.77357	1.51672	-0.25685
13.8	1.76468	1.5292	-0.23548
13.81	1.74907	1.53725	-0.21182
13.82	1.72765	1.54151	-0.18614
13.83	1.70138	1.54258	-0.1588
13.84	1.67132	1.5411	-0.13022
13.85	1.63856	1.53767	-0.10089
13.86	1.60425	1.53288	-0.07137
13.87	1.56953	1.52728	-0.04225
13.88	1.53556	1.52141	-0.01415
13.89	1.50346	1.51575	0.01229
13.9	1.47433	1.51074	0.03641
13.91	1.44919	1.50681	0.05762
13.92	1.42901	1.50433	0.07532
13.93	1.41463	1.50367	0.08904
13.94	1.40682	1.50515	0.09833
13.95	1.40617	1.50908	0.10291
13.96	1.41319	1.51575	0.10256
13.97	1.42819	1.52544	0.09725
13.98	1.45133	1.53841	0.08708
13.99	1.48262	1.55489	0.07227
14	1.52187	1.57509	0.05322
14.01	1.56873	1.59919	0.03046
14.02	1.62268	1.62733	0.00465
14.03	1.68302	1.6596	-0.02342
14.04	1.7489	1.69602	-0.05288
14.05	1.81931	1.73652	-0.08279
14.06	1.89311	1.78096	-0.11215
14.07	1.96903	1.82908	-0.13995
14.08	2.04569	1.88051	-0.16518
14.09	2.12164	1.93476	-0.18688
14.1	2.19537	1.99119	-0.20418
14.11	2.2653	2.04903	-0.21627
14.12	2.32988	2.10738	-0.2225
14.13	2.38752	2.16522	-0.2223
14.14	2.4367	2.22139	-0.21531
14.15	2.47594	2.27463	-0.20131
14.16	2.50385	2.32359	-0.18027
14.17	2.51915	2.36688	-0.15227
14.18	2.52066	2.40303	-0.11763
14.19	2.50737	2.43059	-0.07678
14.2	2.47842	2.44813	-0.03029
14.21	2.43312	2.45426	0.02114
14.22	2.37097	2.44769	0.07672
14.23	2.29167	2.42725	0.13558
14.24	2.1951	2.39191	0.19681
14.25	2.08136	2.34081	0.25946
14.26	1.95073	2.27331	0.32258
14.27	1.80369	2.18895	0.38526
14.28	1.64093	2.08754	0.44661
14.29	1.46327	1.96909	0.50582
14.3	1.27173	1.83386	0.56214
14.31	1.06745	1.68235	0.6149
14.32	0.85174	1.51526	0.66352
14.33	0.62597	1.33351	0.70754
14.34	0.39165	1.1382	0.74655
14.35	0.15033	0.93061	0.78028
14.36	-0.09637	0.71211	0.80849
14.37	-0.34682	0.48423	0.83105
14.38	-0.59936	0.24852	0.84788
14.39	-0.85235	0.00661	0.85896
14.4	-1.10418	-0.23986	0.86432
14.41	-1.3533	-0.48929	0.86401
14.42	-1.5982	-0.74009	0.8581
14.43	-1.83747	-0.99076	0.84671
14.44	-2.06978	-1.23984	0.82994
14.45	-2.29391	-1.486	0.80791
14.46	-2.50875	-1.72801	0.78074
14.47	-2.71332	-1.96472	0.7486
14.48	-2.90674	-2.19513	0.71161
14.49	-3.08828	-2.41832	0.66996
14.5	-3.25734	-2.63349	0.62385
14.51	-3.41342	-2.83993	0.57349
14.52	-3.55619	-3.03703	0.51916
14.53	-3.68541	-3.22425	0.46116
14.54	-3.80098	-3.40111	0.39987
14.55	-3.9029	-3.56722	0.33568
14.56	-3.99129	-3.7222	0.26909
14.57	-4.06636	-3.86574	0.20063
14.58	-4.12842	-3.99757	0.13085
14.59	-4.17786	-4.11745	0.06041
