ppm (expt), data (expt), ppm (sim), data (sim)
329.496,-2.66E-15,457.704,0.9738
329.844,-3.56E-15,457.65,0.97
330.193,-1.74E-15,457.596,0.9652
330.541,-2.96E-15,457.542,0.9596
330.889,-4.87E-15,457.488,0.9531
331.238,-3.18E-15,457.434,0.9457
331.586,-4.35E-15,457.38,0.9375
331.934,-4.02E-15,457.326,0.9286
332.282,-3.71E-15,457.272,0.9188
332.631,-3.57E-15,457.218,0.9084
332.979,-4.12E-15,457.164,0.8973
333.327,-3.83E-15,457.11,0.8857
333.676,-3.59E-15,457.056,0.8734
334.024,-3.18E-15,457.002,0.8607
334.372,-3.11E-15,456.948,0.8476
334.721,-4.60E-15,456.894,0.8341
335.069,-5.22E-15,456.84,0.8203
335.417,-4.72E-15,456.786,0.8062
335.766,-4.60E-15,456.732,0.7921
336.114,-4.97E-15,456.678,0.7778
336.462,-5.03E-15,456.624,0.7636
336.81,-4.41E-15,456.569,0.7494
337.159,-3.73E-15,456.515,0.7353
337.507,-6.62E-15,456.461,0.7215
337.855,-6.02E-15,456.407,0.7079
338.204,-4.87E-15,456.353,0.6947
338.552,-5.16E-15,456.299,0.6819
338.9,-6.56E-15,456.245,0.6695
339.249,-6.97E-15,456.191,0.6577
339.597,-6.46E-15,456.137,0.6465
339.945,-5.44E-15,456.083,0.6359
340.293,-6.56E-15,456.029,0.6261
340.642,-6.81E-15,455.975,0.6169
340.99,-6.58E-15,455.921,0.6085
341.338,-6.81E-15,455.867,0.601
341.687,-8.08E-15,455.813,0.5943
342.035,-7.86E-15,455.759,0.5884
342.383,-7.40E-15,455.705,0.5834
342.732,-7.98E-15,455.651,0.5794
343.08,-7.73E-15,455.597,0.5762
343.428,-6.68E-15,455.543,0.574
343.777,-6.00E-15,455.489,0.5726
344.125,-5.88E-15,455.435,0.5722
344.473,-6.57E-15,455.381,0.5727
344.821,-8.08E-15,455.327,0.574
345.17,-6.45E-15,455.273,0.5761
345.518,-7.72E-15,455.219,0.5791
345.866,-8.39E-15,455.165,0.5829
346.215,-6.55E-15,455.111,0.5874
346.563,-7.30E-15,455.057,0.5926
346.911,-7.04E-15,455.003,0.5984
347.26,-7.90E-15,454.949,0.6048
347.608,-7.63E-15,454.894,0.6118
347.956,-6.51E-15,454.84,0.6193
348.304,-8.74E-15,454.786,0.6271
348.653,-7.02E-15,454.732,0.6354
349.001,-8.63E-15,454.678,0.6439
349.349,-6.19E-15,454.624,0.6526
349.698,-7.90E-15,454.57,0.6615
350.046,-7.85E-15,454.516,0.6705
350.394,-8.21E-15,454.462,0.6795
350.743,-7.30E-15,454.408,0.6884
351.091,-7.85E-15,454.354,0.6972
351.439,-7.98E-15,454.3,0.7058
351.788,-8.13E-15,454.246,0.7141
352.136,-6.49E-15,454.192,0.7221
352.484,-5.85E-15,454.138,0.7297
352.832,-8.66E-15,454.084,0.7368
353.181,-8.22E-15,454.03,0.7434
353.529,-7.31E-15,453.976,0.7494
353.877,-7.73E-15,453.922,0.7548
354.226,-5.16E-15,453.868,0.7595
354.574,-9.83E-15,453.814,0.7635
354.922,-7.47E-15,453.76,0.7668
355.271,-7.89E-15,453.706,0.7692
355.619,-7.81E-15,453.652,0.7708
355.967,-7.70E-15,453.598,0.7715
356.315,-6.33E-15,453.544,0.7713
356.664,-5.65E-15,453.49,0.7703
357.012,-7.10E-15,453.436,0.7683
357.36,-6.34E-15,453.382,0.7654
357.709,-5.71E-15,453.328,0.7616
358.057,-4.90E-15,453.273,0.7569
358.405,-6.66E-15,453.219,0.7512
358.754,-6.80E-15,453.165,0.7447
359.102,-2.36E-15,453.111,0.7373
359.45,-6.18E-15,453.057,0.729
359.799,-5.05E-15,453.003,0.7199
360.147,-6.34E-15,452.949,0.71
360.495,-4.61E-15,452.895,0.6993
360.843,-7.60E-15,452.841,0.6879
361.192,-6.74E-15,452.787,0.6758
361.54,-3.72E-15,452.733,0.6631
361.888,-1.96E-15,452.679,0.6498
362.237,-6.92E-15,452.625,0.636
362.585,-5.49E-15,452.571,0.6217
362.933,-6.95E-15,452.517,0.607
363.282,-3.17E-15,452.463,0.5919
363.63,-3.59E-15,452.409,0.5766
363.978,-4.41E-15,452.355,0.5609
364.326,-4.91E-15,452.301,0.5451
364.675,-2.48E-15,452.247,0.5292
365.023,-4.22E-15,452.193,0.5132
365.371,-1.42E-15,452.139,0.4972
365.72,-4.41E-15,452.085,0.4813
366.068,-4.63E-15,452.031,0.4655
366.416,-1.83E-15,451.977,0.4499
366.765,-5.01E-15,451.923,0.4345
367.113,-4.85E-15,451.869,0.4194
367.461,-1.10E-15,451.815,0.4046
367.81,-2.59E-15,451.761,0.3903
368.158,-3.74E-15,451.707,0.3763
368.506,-5.48E-15,451.652,0.3628
368.854,-4.83E-15,451.598,0.3498
369.203,-3.44E-15,451.544,0.3374
369.551,-6.91E-15,451.49,0.3255
369.899,-1.02E-15,451.436,0.3143
370.248,9.08E-16,451.382,0.3037
370.596,-4.42E-16,451.328,0.2937
370.944,-2.37E-15,451.274,0.2844
371.293,-1.53E-15,451.22,0.2757
371.641,3.26E-16,451.166,0.2678
371.989,-1.68E-16,451.112,0.2605
372.337,5.89E-17,451.058,0.254
372.686,1.81E-15,451.004,0.2481
373.034,-3.89E-15,450.95,0.2429
373.382,-5.29E-16,450.896,0.2383
373.731,-1.05E-15,450.842,0.2345
374.079,-6.17E-15,450.788,0.2312
374.427,5.08E-16,450.734,0.2286
374.776,-2.69E-15,450.68,0.2266
375.124,-7.31E-15,450.626,0.2251
375.472,2.03E-16,450.572,0.2242
375.821,-1.49E-16,450.518,0.2239
376.169,-3.35E-15,450.464,0.224
376.517,-1.86E-15,450.41,0.2245
376.865,-6.44E-15,450.356,0.2255
377.214,-9.07E-16,450.302,0.2269
377.562,-3.21E-15,450.248,0.2286
377.91,8.14E-16,450.194,0.2306
378.259,-4.45E-15,450.14,0.2329
378.607,-2.60E-15,450.086,0.2355
378.955,-1.97E-15,450.032,0.2383
379.304,-9.66E-16,449.977,0.2412
379.652,-4.69E-15,449.923,0.2443
380,-3.92E-15,449.869,0.2475
380.348,-3.90E-15,449.815,0.2508
380.697,-1.28E-15,449.761,0.2541
381.045,-2.91E-15,449.707,0.2575
381.393,-2.90E-15,449.653,0.2609
381.742,-3.86E-15,449.599,0.2642
382.09,-3.75E-15,449.545,0.2675
382.438,-3.41E-15,449.491,0.2708
382.787,-4.62E-15,449.437,0.274
383.135,-3.73E-15,449.383,0.2771
383.483,-1.16E-15,449.329,0.28
383.832,-3.74E-15,449.275,0.2829
384.18,2.15E-15,449.221,0.2857
384.528,-2.11E-15,449.167,0.2884
384.876,-2.19E-15,449.113,0.2909
385.225,-3.15E-15,449.059,0.2934
385.573,1.56E-15,449.005,0.2957
385.921,-1.75E-15,448.951,0.298
386.27,-2.50E-15,448.897,0.3001
386.618,1.34E-15,448.843,0.3022
386.966,-2.93E-15,448.789,0.3043
387.315,1.62E-15,448.735,0.3063
387.663,-1.74E-15,448.681,0.3083
388.011,-7.70E-16,448.627,0.3102
388.359,-3.00E-15,448.573,0.3122
388.708,-3.85E-15,448.519,0.3143
389.056,-1.25E-15,448.465,0.3164
389.404,-3.49E-15,448.411,0.3185
389.753,-7.51E-16,448.356,0.3208
390.101,2.00E-15,448.302,0.3232
390.449,-2.86E-15,448.248,0.3258
390.798,5.85E-16,448.194,0.3285
391.146,-4.21E-16,448.14,0.3314
391.494,-3.86E-16,448.086,0.3346
391.843,1.06E-15,448.032,0.338
392.191,4.66E-16,447.978,0.3416
392.539,-1.07E-15,447.924,0.3455
392.887,2.78E-15,447.87,0.3497
393.236,9.27E-16,447.816,0.3542
393.584,1.27E-15,447.762,0.359
393.932,1.25E-15,447.708,0.3641
394.281,2.66E-15,447.654,0.3696
394.629,7.48E-16,447.6,0.3753
394.977,-6.01E-16,447.546,0.3814
395.326,3.20E-15,447.492,0.3879
395.674,2.15E-15,447.438,0.3946
396.022,1.40E-15,447.384,0.4016
396.37,1.45E-15,447.33,0.409
396.719,2.34E-15,447.276,0.4166
397.067,1.78E-15,447.222,0.4245
397.415,1.51E-15,447.168,0.4327
397.764,1.96E-15,447.114,0.4411
398.112,3.07E-15,447.06,0.4497
398.46,2.14E-15,447.006,0.4584
398.809,2.45E-15,446.952,0.4673
399.157,2.95E-15,446.898,0.4764
399.505,2.45E-15,446.844,0.4855
399.854,2.26E-15,446.79,0.4946
400.202,1.75E-15,446.736,0.5038
400.55,1.34E-15,446.681,0.5129
400.898,3.33E-15,446.627,0.5219
401.247,2.00E-15,446.573,0.5308
401.595,9.46E-16,446.519,0.5396
401.943,1.02E-15,446.465,0.5481
402.292,2.51E-15,446.411,0.5564
402.64,8.73E-16,446.357,0.5644
402.988,2.08E-15,446.303,0.5721
403.337,1.04E-15,446.249,0.5794
403.685,2.00E-15,446.195,0.5863
404.033,2.46E-15,446.141,0.5927
404.381,2.20E-15,446.087,0.5986
404.73,4.35E-15,446.033,0.6039
405.078,6.87E-15,445.979,0.6087
405.426,1.31E-14,445.925,0.6128
405.775,2.51E-14,445.871,0.6163
406.123,5.00E-14,445.817,0.6192
406.471,1.03E-13,445.763,0.6213
406.82,2.06E-13,445.709,0.6227
407.168,4.08E-13,445.655,0.6233
407.516,8.09E-13,445.601,0.6231
407.865,1.58E-12,445.547,0.6222
408.213,3.07E-12,445.493,0.6205
408.561,5.90E-12,445.439,0.6179
408.909,1.12E-11,445.385,0.6146
409.258,2.12E-11,445.331,0.6104
409.606,3.96E-11,445.277,0.6054
409.954,7.32E-11,445.223,0.5996
410.303,1.34E-10,445.169,0.593
410.651,2.43E-10,445.115,0.5857
410.999,4.37E-10,445.06,0.5775
411.348,7.79E-10,445.006,0.5687
411.696,1.37E-09,444.952,0.5591
412.044,2.40E-09,444.898,0.5488
412.392,4.15E-09,444.844,0.5379
412.741,7.12E-09,444.79,0.5263
413.089,1.21E-08,444.736,0.5142
413.437,2.03E-08,444.682,0.5015
413.786,3.38E-08,444.628,0.4884
414.134,5.58E-08,444.574,0.4747
414.482,9.13E-08,444.52,0.4607
414.831,1.48E-07,444.466,0.4463
415.179,2.37E-07,444.412,0.4315
415.527,3.76E-07,444.358,0.4166
415.876,5.92E-07,444.304,0.4014
416.224,9.22E-07,444.25,0.386
416.572,1.42E-06,444.196,0.3706
416.92,2.17E-06,444.142,0.3551
417.269,3.29E-06,444.088,0.3397
417.617,4.94E-06,444.034,0.3243
417.965,7.34E-06,443.98,0.309
418.314,1.08E-05,443.926,0.2939
418.662,1.57E-05,443.872,0.279
419.01,2.27E-05,443.818,0.2643
419.359,3.25E-05,443.764,0.25
419.707,4.60E-05,443.71,0.2361
420.055,6.46E-05,443.656,0.2226
420.403,8.97E-05,443.602,0.2095
420.752,1.24E-04,443.548,0.1969
421.1,1.68E-04,443.494,0.1849
421.448,2.28E-04,443.439,0.1734
421.797,3.04E-04,443.385,0.1625
422.145,4.03E-04,443.331,0.1522
422.493,5.30E-04,443.277,0.1426
422.842,6.89E-04,443.223,0.1336
423.19,8.87E-04,443.169,0.1253
423.538,1.13E-03,443.115,0.1177
423.887,1.43E-03,443.061,0.1109
424.235,1.79E-03,443.007,0.1047
424.583,2.22E-03,442.953,0.0993
424.931,2.73E-03,442.899,0.0946
425.28,3.33E-03,442.845,0.0906
425.628,4.01E-03,442.791,0.0873
425.976,4.80E-03,442.737,0.0848
426.325,5.68E-03,442.683,0.0829
426.673,6.67E-03,442.629,0.0817
427.021,7.76E-03,442.575,0.0812
427.37,8.94E-03,442.521,0.0813
427.718,0.0102,442.467,0.0821
428.066,0.0116,442.413,0.0834
428.415,0.013,442.359,0.0853
428.763,0.0145,442.305,0.0877
429.111,0.016,442.251,0.0907
429.459,0.0176,442.197,0.0941
429.808,0.0191,442.143,0.0979
430.156,0.0207,442.089,0.1022
430.504,0.0222,442.035,0.1068
430.853,0.0237,441.981,0.1118
431.201,0.0252,441.927,0.117
431.549,0.0266,441.873,0.1225
431.898,0.028,441.819,0.1282
432.246,0.0293,441.764,0.1341
432.594,0.0306,441.71,0.1402
432.942,0.0319,441.656,0.1463
433.291,0.0331,441.602,0.1525
433.639,0.0344,441.548,0.1587
433.987,0.0357,441.494,0.165
434.336,0.037,441.44,0.1712
434.684,0.0383,441.386,0.1773
435.032,0.0397,441.332,0.1833
435.381,0.0412,441.278,0.1893
435.729,0.0427,441.224,0.195
436.077,0.0443,441.17,0.2006
436.426,0.046,441.116,0.206
436.774,0.0476,441.062,0.2111
437.122,0.0493,441.008,0.216
437.47,0.0511,440.954,0.2206
437.819,0.0528,440.9,0.225
438.167,0.0546,440.846,0.229
438.515,0.0563,440.792,0.2328
438.864,0.0581,440.738,0.2362
439.212,0.0599,440.684,0.2393
439.56,0.0617,440.63,0.2421
439.909,0.0635,440.576,0.2445
440.257,0.0655,440.522,0.2466
440.605,0.0676,440.468,0.2483
440.953,0.0698,440.414,0.2497
441.302,0.0722,440.36,0.2507
441.65,0.0748,440.306,0.2514
441.998,0.0777,440.252,0.2518
442.347,0.0808,440.198,0.2518
442.695,0.0843,440.143,0.2515
443.043,0.088,440.089,0.2508
443.392,0.092,440.035,0.2499
443.74,0.0963,439.981,0.2486
444.088,0.1008,439.927,0.247
444.437,0.1057,439.873,0.2451
444.785,0.1108,439.819,0.243
445.133,0.1161,439.765,0.2405
445.481,0.1216,439.711,0.2378
445.83,0.1272,439.657,0.2348
446.178,0.133,439.603,0.2316
446.526,0.1388,439.549,0.2281
446.875,0.1447,439.495,0.2244
447.223,0.1506,439.441,0.2204
447.571,0.1566,439.387,0.2162
447.92,0.1624,439.333,0.2118
448.268,0.1682,439.279,0.2072
448.616,0.174,439.225,0.2024
448.964,0.1796,439.171,0.1974
449.313,0.1851,439.117,0.1922
449.661,0.1905,439.063,0.1868
450.009,0.1958,439.009,0.1812
450.358,0.2009,438.955,0.1754
450.706,0.206,438.901,0.1695
451.054,0.2111,438.847,0.1634
451.403,0.2161,438.793,0.157
451.751,0.2212,438.739,0.1506
452.099,0.2264,438.685,0.1439
452.448,0.2318,438.631,0.1371
452.796,0.2375,438.577,0.1301
453.144,0.2435,438.523,0.1229
453.492,0.2499,438.468,0.1156
453.841,0.2569,438.414,0.1081
454.189,0.2644,438.36,0.1005
454.537,0.2725,438.306,0.0927
454.886,0.2812,438.252,0.0847
455.234,0.2905,438.198,0.0766
455.582,0.3004,438.144,0.0684
455.931,0.3109,438.09,0.06
456.279,0.3219,438.036,0.0515
456.627,0.3333,437.982,0.0428
456.975,0.345,437.928,0.0341
457.324,0.3569,437.874,0.0253
457.672,0.3688,437.82,0.0163
458.02,0.3806,437.766,7.30E-03
458.369,0.3921,437.712,-1.78E-03
458.717,0.4031,437.658,-0.0109
459.065,0.4137,437.604,-0.0201
459.414,0.4235,437.55,-0.0292
459.762,0.4326,437.496,-0.0384
460.11,0.4408,437.442,-0.0475
460.459,0.448,437.388,-0.0566
460.807,0.4544,437.334,-0.0657
461.155,0.4597,437.28,-0.0746
461.503,0.4642,437.226,-0.0834
461.852,0.4677,437.172,-0.0921
462.2,0.4705,437.118,-0.1006
462.548,0.4726,437.064,-0.1089
462.897,0.4742,437.01,-0.1169
463.245,0.4755,436.956,-0.1247
463.593,0.4765,436.902,-0.1322
463.942,0.4776,436.847,-0.1394
464.29,0.4789,436.793,-0.1463
464.638,0.4807,436.739,-0.1528
464.986,0.4831,436.685,-0.1588
465.335,0.4864,436.631,-0.1645
465.683,0.4907,436.577,-0.1696
466.031,0.4964,436.523,-0.1743
466.38,0.5034,436.469,-0.1784
466.728,0.512,436.415,-0.182
467.076,0.5222,436.361,-0.1851
467.425,0.534,436.307,-0.1875
467.773,0.5476,436.253,-0.1894
468.121,0.5628,436.199,-0.1906
468.47,0.5794,436.145,-0.1911
468.818,0.5974,436.091,-0.191
469.166,0.6166,436.037,-0.1903
469.514,0.6367,435.983,-0.1888
469.863,0.6574,435.929,-0.1866
470.211,0.6784,435.875,-0.1838
470.559,0.6995,435.821,-0.1802
470.908,0.7203,435.767,-0.176
471.256,0.7405,435.713,-0.1711
471.604,0.7598,435.659,-0.1655
471.953,0.7779,435.605,-0.1592
472.301,0.7948,435.551,-0.1522
472.649,0.8101,435.497,-0.1447
472.997,0.8238,435.443,-0.1365
473.346,0.8358,435.389,-0.1277
473.694,0.8461,435.335,-0.1183
474.042,0.8546,435.281,-0.1084
474.391,0.8613,435.226,-0.0981
474.739,0.8664,435.172,-0.0872
475.087,0.8698,435.118,-0.0759
475.436,0.8717,435.064,-0.0643
475.784,0.8722,435.01,-0.0523
476.132,0.8713,434.956,-0.04
476.481,0.8691,434.902,-0.0275
476.829,0.8656,434.848,-0.0148
477.177,0.8611,434.794,-1.90E-03
477.525,0.8554,434.74,0.011
477.874,0.8488,434.686,0.024
478.222,0.8413,434.632,0.0369
478.57,0.8329,434.578,0.0498
478.919,0.8239,434.524,0.0625
479.267,0.8142,434.47,0.075
479.615,0.8042,434.416,0.0872
479.964,0.7939,434.362,0.0991
480.312,0.7835,434.308,0.1107
480.66,0.7732,434.254,0.1218
481.008,0.7632,434.2,0.1324
481.357,0.7537,434.146,0.1425
481.705,0.7449,434.092,0.152
482.053,0.7369,434.038,0.1608
482.402,0.7299,433.984,0.169
482.75,0.7238,433.93,0.1764
483.098,0.7188,433.876,0.183
483.447,0.7147,433.822,0.1888
483.795,0.7115,433.768,0.1938
484.143,0.7091,433.714,0.1979
484.492,0.7071,433.66,0.201
484.84,0.7055,433.606,0.2033
485.188,0.7039,433.551,0.2046
485.536,0.702,433.497,0.2049
485.885,0.6996,433.443,0.2042
486.233,0.6965,433.389,0.2025
486.581,0.6922,433.335,0.1998
486.93,0.6867,433.281,0.1961
487.278,0.6798,433.227,0.1914
487.626,0.6714,433.173,0.1858
487.975,0.6614,433.119,0.1792
488.323,0.6499,433.065,0.1716
488.671,0.6369,433.011,0.1631
489.019,0.6225,432.957,0.1537
489.368,0.607,432.903,0.1434
489.716,0.5905,432.849,0.1323
490.064,0.5732,432.795,0.1204
490.413,0.5553,432.741,0.1077
490.761,0.5372,432.687,0.0944
491.109,0.519,432.633,0.0804
491.458,0.5009,432.579,0.0657
491.806,0.483,432.525,0.0506
492.154,0.4656,432.471,0.0349
492.503,0.4486,432.417,0.0188
492.851,0.4322,432.363,2.39E-03
493.199,0.4164,432.309,-0.0144
493.547,0.4011,432.255,-0.0313
493.896,0.3863,432.201,-0.0485
494.244,0.3719,432.147,-0.0658
494.592,0.3579,432.093,-0.0831
494.941,0.3442,432.039,-0.1003
495.289,0.3306,431.985,-0.1175
495.637,0.3172,431.93,-0.1345
495.986,0.3038,431.876,-0.1513
496.334,0.2904,431.822,-0.1677
496.682,0.2769,431.768,-0.1838
497.03,0.2635,431.714,-0.1995
497.379,0.25,431.66,-0.2147
497.727,0.2366,431.606,-0.2293
498.075,0.2233,431.552,-0.2434
498.424,0.2102,431.498,-0.2568
498.772,0.1973,431.444,-0.2694
499.12,0.1847,431.39,-0.2814
499.469,0.1726,431.336,-0.2925
499.817,0.161,431.282,-0.3028
500.165,0.1499,431.228,-0.3122
500.514,0.1394,431.174,-0.3208
500.862,0.1295,431.12,-0.3284
501.21,0.1202,431.066,-0.335
501.558,0.1116,431.012,-0.3406
501.907,0.1035,430.958,-0.3453
502.255,0.0961,430.904,-0.3489
502.603,0.0891,430.85,-0.3515
502.952,0.0827,430.796,-0.3531
503.3,0.0766,430.742,-0.3537
503.648,0.0709,430.688,-0.3533
503.997,0.0656,430.634,-0.3518
504.345,0.0605,430.58,-0.3493
504.693,0.0557,430.526,-0.3459
505.041,0.0511,430.472,-0.3415
505.39,0.0467,430.418,-0.3361
505.738,0.0424,430.364,-0.3298
506.086,0.0384,430.309,-0.3226
506.435,0.0346,430.255,-0.3146
506.783,0.0309,430.201,-0.3057
507.131,0.0275,430.147,-0.296
507.48,0.0243,430.093,-0.2856
507.828,0.0212,430.039,-0.2745
508.176,0.0185,429.985,-0.2627
508.525,0.0159,429.931,-0.2503
508.873,0.0136,429.877,-0.2373
509.221,0.0116,429.823,-0.2238
509.569,9.74E-03,429.769,-0.2098
509.918,8.12E-03,429.715,-0.1953
510.266,6.71E-03,429.661,-0.1805
510.614,5.50E-03,429.607,-0.1654
510.963,4.47E-03,429.553,-0.1499
511.311,3.60E-03,429.499,-0.1343
511.659,2.87E-03,429.445,-0.1184
512.008,2.27E-03,429.391,-0.1024
512.356,1.77E-03,429.337,-0.0863
512.704,1.38E-03,429.283,-0.0702
513.052,1.06E-03,429.229,-0.0541
513.401,8.05E-04,429.175,-0.038
513.749,6.07E-04,429.121,-0.022
514.097,4.53E-04,429.067,-6.13E-03
514.446,3.36E-04,429.013,9.56E-03
514.794,2.46E-04,428.959,0.0251
515.142,1.79E-04,428.905,0.0403
515.491,1.29E-04,428.851,0.0553
515.839,9.16E-05,428.797,0.07
516.187,6.46E-05,428.743,0.0843
516.536,4.52E-05,428.689,0.0983
516.884,3.13E-05,428.634,0.1119
517.232,2.15E-05,428.58,0.1251
517.58,1.46E-05,428.526,0.1379
517.929,9.82E-06,428.472,0.1502
518.277,6.55E-06,428.418,0.1621
518.625,4.32E-06,428.364,0.1735
518.974,2.83E-06,428.31,0.1844
519.322,1.83E-06,428.256,0.1948
519.67,1.18E-06,428.202,0.2047
520.019,7.47E-07,428.148,0.2141
520.367,4.71E-07,428.094,0.223
520.715,2.94E-07,428.04,0.2313
521.063,1.81E-07,427.986,0.2391
521.412,1.11E-07,427.932,0.2464
521.76,6.72E-08,427.878,0.2532
522.108,4.04E-08,427.824,0.2594
522.457,2.40E-08,427.77,0.2651
522.805,1.41E-08,427.716,0.2703
523.153,8.25E-09,427.662,0.275
523.502,4.77E-09,427.608,0.2791
523.85,2.73E-09,427.554,0.2828
524.198,1.55E-09,427.5,0.286
524.547,8.69E-10,427.446,0.2886
524.895,4.83E-10,427.392,0.2908
525.243,2.66E-10,427.338,0.2924
525.591,1.45E-10,427.284,0.2936
525.94,7.86E-11,427.23,0.2943
526.288,4.21E-11,427.176,0.2946
526.636,2.23E-11,427.122,0.2943
526.985,1.17E-11,427.068,0.2936
527.333,6.10E-12,427.013,0.2925
527.681,3.14E-12,426.959,0.2909
528.03,1.60E-12,426.905,0.2888
528.378,8.05E-13,426.851,0.2863
528.726,4.03E-13,426.797,0.2834
529.074,1.98E-13,426.743,0.28
529.423,9.53E-14,426.689,0.2762
529.771,4.63E-14,426.635,0.2719
530.119,2.07E-14,426.581,0.2672
530.468,6.93E-15,426.527,0.2621
530.816,1.49E-15,426.473,0.2565
531.164,-9.04E-16,426.419,0.2505
531.513,-3.21E-15,426.365,0.2441
531.861,-9.82E-16,426.311,0.2372
532.209,-1.69E-15,426.257,0.23
532.558,-1.04E-15,426.203,0.2223
532.906,-3.96E-15,426.149,0.2142
533.254,-4.86E-15,426.095,0.2057
533.602,-4.91E-15,426.041,0.1967
533.951,-3.71E-15,425.987,0.1874
534.299,-1.32E-15,425.933,0.1777
534.647,-2.08E-15,425.879,0.1675
534.996,-3.37E-15,425.825,0.157
535.344,-3.67E-15,425.771,0.1461
535.692,-1.37E-15,425.717,0.1349
536.041,-2.02E-15,425.663,0.1233
536.389,-2.66E-15,425.609,0.1113
536.737,-1.89E-15,425.555,0.099
537.085,-5.26E-15,425.501,0.0864
537.434,-7.10E-16,425.447,0.0735
537.782,-1.78E-15,425.393,0.0603
538.13,-1.84E-15,425.338,0.0469
538.479,-2.40E-15,425.284,0.0332
538.827,-2.46E-15,425.23,0.0193
539.175,-2.86E-15,425.176,5.26E-03
539.524,-4.50E-15,425.122,-8.98E-03
539.872,-3.82E-15,425.068,-0.0233
540.22,-4.07E-15,425.014,-0.0378
540.569,-7.75E-16,424.96,-0.0523
540.917,-4.58E-15,424.906,-0.0669
541.265,-2.00E-15,424.852,-0.0815
541.613,-3.01E-15,424.798,-0.096
541.962,-4.57E-15,424.744,-0.1105
542.31,-1.13E-15,424.69,-0.1249
542.658,-3.26E-15,424.636,-0.1391
543.007,2.44E-15,424.582,-0.1531
543.355,-1.46E-15,424.528,-0.1668
543.703,-2.57E-15,424.474,-0.1803
544.052,-4.04E-15,424.42,-0.1935
544.4,-2.16E-15,424.366,-0.2063
544.748,-1.41E-15,424.312,-0.2187
545.096,-1.16E-15,424.258,-0.2307
545.445,-1.51E-15,424.204,-0.2421
545.793,-3.77E-15,424.15,-0.2531
546.141,-3.64E-16,424.096,-0.2634
546.49,-4.75E-15,424.042,-0.2731
546.838,-1.90E-15,423.988,-0.2822
547.186,-1.65E-15,423.934,-0.2906
547.535,-2.32E-15,423.88,-0.2982
547.883,-5.07E-15,423.826,-0.305
548.231,1.44E-15,423.772,-0.3111
548.58,2.16E-15,423.717,-0.3163
548.928,-2.32E-15,423.663,-0.3206
549.276,-3.85E-16,423.609,-0.324
549.624,5.74E-16,423.555,-0.3265
549.973,-2.53E-15,423.501,-0.328
550.321,2.57E-15,423.447,-0.3286
550.669,1.37E-15,423.393,-0.3281
551.018,-5.14E-15,423.339,-0.3267
551.366,1.26E-15,423.285,-0.3243
551.714,-1.12E-15,423.231,-0.3208
552.063,1.94E-15,423.177,-0.3162
552.411,5.72E-15,423.123,-0.3107
552.759,2.95E-15,423.069,-0.3041
553.108,-8.29E-16,423.015,-0.2965
553.456,1.95E-15,422.961,-0.2878
553.804,7.29E-15,422.907,-0.2782
554.152,5.33E-15,422.853,-0.2675
554.501,1.05E-15,422.799,-0.2559
554.849,3.80E-15,422.745,-0.2433
555.197,4.14E-15,422.691,-0.2298
555.546,4.85E-15,422.637,-0.2154
555.894,-4.37E-16,422.583,-0.2002
556.242,4.11E-15,422.529,-0.1841
556.591,2.50E-15,422.475,-0.1672
556.939,5.39E-15,422.421,-0.1495
557.287,2.47E-15,422.367,-0.1312
557.635,2.45E-15,422.313,-0.1122
557.984,4.39E-15,422.259,-0.0925
558.332,2.94E-15,422.205,-0.0723
558.68,1.23E-15,422.151,-0.0516
559.029,2.85E-15,422.096,-0.0305
559.377,4.67E-15,422.042,-8.96E-03
559.725,3.47E-15,421.988,0.0129
560.074,-4.95E-16,421.934,0.0351
560.422,-3.27E-15,421.88,0.0574
560.77,8.51E-16,421.826,0.0799
561.119,2.06E-16,421.772,0.1025
561.467,-8.43E-17,421.718,0.1252
561.815,-3.19E-15,421.664,0.1478
562.163,-7.57E-16,421.61,0.1702
562.512,5.13E-15,421.556,0.1926
562.86,2.58E-15,421.502,0.2147
563.208,3.93E-15,421.448,0.2365
563.557,-2.27E-15,421.394,0.258
563.905,6.16E-16,421.34,0.279
564.253,1.70E-15,421.286,0.2996
564.602,-3.00E-15,421.232,0.3197
564.95,1.01E-15,421.178,0.3392
565.298,-2.01E-16,421.124,0.358
565.646,-1.77E-15,421.07,0.3762
565.995,6.86E-17,421.016,0.3936
566.343,4.84E-15,420.962,0.4103
566.691,-1.42E-15,420.908,0.4262
567.04,-3.35E-16,420.854,0.4412
567.388,1.23E-15,420.8,0.4553
567.736,4.99E-15,420.746,0.4684
568.085,1.74E-15,420.692,0.4807
568.433,4.08E-15,420.638,0.4919
568.781,-3.45E-16,420.584,0.5021
569.13,2.35E-15,420.53,0.5112
569.478,-8.37E-16,420.476,0.5193
569.826,-2.91E-15,420.421,0.5264
570.174,9.57E-16,420.367,0.5323
570.523,7.78E-16,420.313,0.5372
570.871,7.92E-16,420.259,0.541
571.219,1.36E-15,420.205,0.5436
571.568,2.71E-15,420.151,0.5452
571.916,2.24E-15,420.097,0.5457
572.264,4.23E-15,420.043,0.5451
572.613,3.05E-15,419.989,0.5434
572.961,2.64E-15,419.935,0.5407
573.309,2.29E-15,419.881,0.5369
573.657,2.77E-15,419.827,0.5321
574.006,2.30E-15,419.773,0.5263
574.354,2.01E-15,419.719,0.5196
574.702,-4.62E-16,419.665,0.5119
